japan;36.204824;138.252924
rome;41.9027835;12.4963655
italy;41.87194;12.56738
brazil;-14.235004;-51.92528
vatican city;41.902916;12.453389
corsica;42.0396042;9.012892599999999
sardinia;40.1208752;9.012892599999999
sicily;37.5999938;14.0153557
malta;35.937496;14.375416
spain;40.46366700000001;-3.74922
macedonia;41.608635;21.745275
greece;39.074208;21.824312
bosnia and herzegovina;43.915886;17.679076
croatia;45.1;15.2
albania;41.153332;20.168331
wales;52.1306607;-3.7837117
andorra;42.506285;1.521801
portugal;39.39987199999999;-8.224454
belgium;50.503887;4.469936
switzerland;46.818188;8.227511999999999
england;52.3555177;-1.1743197
the netherlands;52.132633;5.291265999999999
luxembourg;49.815273;6.129582999999999
liechtenstein;47.166;9.555373
france;46.227638;2.213749
san marino;43.94236;12.457777
monaco;43.73841760000001;7.424615799999999
montenegro;42.708678;19.37439
austria;47.516231;14.550072
turkey;38.963745;35.243322
armenia;40.069099;45.038189
georgia;32.1656221;-82.9000751
azerbaijan;40.143105;47.576927
syria;34.80207499999999;38.996815
iraq;33.223191;43.679291
cyprus;35.126413;33.429859
lebanon;33.854721;35.862285
jordan;30.585164;36.238414
israel;31.046051;34.851612
egypt;26.820553;30.802498
morocco;31.791702;-7.092619999999999
serbia;44.016521;21.005859
germany;51.165691;10.451526
tunisia;33.886917;9.537499
romania;45.943161;24.96676
hungary;47.162494;19.503304
libya;26.3351;17.228331
algeria;28.033886;1.659626
slovenia;46.151241;14.995463
